team_a_name,team_a_score,team_b_name,team_b_score,winner
Queens Club,-610,Daniel Negreanu,610,Daniel Negreanu
my bad,2047,GoKinCobra,-2047,my bad
Kappa Sigma C Team,-1720,<^-^>,1720,<^-^>
pkr face,772,CC Star,-772,pkr face
Queens Club,-463,SWEET BUT SALTY,463,SWEET BUT SALTY
AAAKJ,808,reference_lecture_1,-808,AAAKJ
maybenot,517,ChocolateWarriors,-517,maybenot
Third Mid,-2243,PokerBrots,2243,PokerBrots
player1,-2649,GoKinCobra,2649,GoKinCobra
¡WHAM!,979,reference_random,-979,¡WHAM!
GoKinCobra,1438,<^-^>,-1438,GoKinCobra
yeet,8170,reference_random,-8170,yeet
AlphaOne,-132,fleabitten,132,fleabitten
